,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
50,41.643105,30.0,90.93234,94.0,42.89311,53.0,0.6762285,0.6,7.9559393,5.0,91.16165,97.0
51,32.80222,26.0,109.94179,132.0,28.711664,24.0,0.20832488,0.3,0.60497445,2.0,68.31523,64.0
52,23.267406,18.0,27.900568,42.99999999999999,28.435509,27.0,0.53024817,0.4,1.7597587,2.0,69.27653,63.0
53,32.290386,27.0,54.35232,53.0,39.6897,43.0,0.84411967,0.9,11.80557,10.0,57.087452,59.0
54,31.625454,28.0,65.36672,75.0,31.89214,29.0,0.45932034,0.5,1.5123526,2.0,52.779045,51.0
55,19.286057,15.0,20.738054,26.0,26.664207,22.0,0.41384915,0.4,1.0400827,2.0,73.89295,71.0
56,80.562035,73.0,111.57801,118.0,32.291946,34.0,0.93718445,0.9,1.8081468,3.0,196.89989,194.0
57,10.974,14.0,33.73802,31.0,18.717434,20.0,0.49442747,0.4,3.2237523,2.0,109.36532,112.0
58,39.245808,45.0,59.67754,60.0,51.083004,50.0,1.2682626,1.2,29.077612,30.0,37.076935,35.0
59,26.221537,21.0,37.892406,56.0,41.21966,38.99999999999999,0.5088798,0.5,2.3276472,2.0,58.572662,53.0
60,6.3555374,10.0,32.661232,28.0,20.592806,21.000000000000004,0.3521506,0.3,3.5370872,3.0,120.375755,124.0
61,17.986702,14.0,28.18449,33.0,22.369308,24.0,0.6053786,0.5,1.7272476,2.0,71.297424,70.0
62,42.515045,36.0,70.29609,66.0,44.490154,45.0,0.5402101,0.5,1.1193494,3.0,45.62199,40.0
63,38.81851,38.0,86.92201,90.0,26.350517,26.000000000000004,0.7369884,0.8,8.628829,7.0,119.54566,123.0
64,75.5782,83.0,99.87529,97.99999999999999,62.08681,63.0,1.6319227,1.6,30.347237,30.0,49.345463,50.0
65,-7.113647,0.0,9.7257595,0.0,11.800163,10.0,0.3082719,0.2,2.1404405,2.0,78.33131,80.0
66,18.68703,20.0,62.50264,72.0,19.558495,16.0,0.32014838,0.4,2.2363093,3.0,85.374176,87.0
67,59.88854,45.0,92.96687,95.0,58.24992,68.0,1.0023992,0.9,6.4789557,4.0,35.0079,37.0
